"filename", "language", "CSS", "JavaScript JSX", "JavaScript", "XML", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/App.css", "CSS", 37, 0, 0, 0, 0, 6, 43
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/App.jsx", "JavaScript JSX", 0, 23, 0, 0, 1, 3, 27
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/AgGridComponent/AgGridComponent.jsx", "JavaScript JSX", 0, 57, 0, 0, 1, 7, 65
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/ApexChart/ApexChat.jsx", "JavaScript JSX", 0, 106, 0, 0, 1, 12, 119
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/ChartNode/ChartNode.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 4, 24
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/DashBoardLeft/DashBoardLeft.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 6, 64
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/DashBoardRight/DashBoardRight.jsx", "JavaScript JSX", 0, 162, 0, 0, 5, 15, 182
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/DashBoardTop/DashBoardTop.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 6, 65
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/DateTime/DateTime.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 5, 31
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/FeaturePair/FeaturePair.jsx", "JavaScript JSX", 0, 125, 0, 0, 0, 15, 140
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/FileTab/FileTab.jsx", "JavaScript JSX", 0, 193, 0, 0, 1, 13, 207
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/FunctionTab/FunctionTab.jsx", "JavaScript JSX", 0, 224, 0, 0, 0, 6, 230
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/MultipleDropDown/MultipleDropDown.jsx", "JavaScript JSX", 0, 107, 0, 0, 2, 14, 123
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/Navbar/Navbar.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 3, 33
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/Sidebar/Sidebar.jsx", "JavaScript JSX", 0, 49, 0, 0, 35, 5, 89
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/SingleDropDown/SingleDropDown.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 11, 75
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/TreeView/TreeView.jsx", "JavaScript JSX", 0, 73, 0, 0, 1, 12, 86
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Components/UploadFile/UploadFile.jsx", "JavaScript JSX", 0, 86, 0, 0, 20, 14, 120
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetCorrelation.jsx", "JavaScript JSX", 0, 308, 0, 0, 6, 36, 350
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetDisplay.jsx", "JavaScript JSX", 0, 53, 0, 0, 14, 10, 77
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetDuplicates.jsx", "JavaScript JSX", 0, 153, 0, 0, 6, 18, 177
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetGroup.jsx", "JavaScript JSX", 0, 154, 0, 0, 1, 15, 170
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetInformation.jsx", "JavaScript JSX", 0, 116, 0, 0, 11, 17, 144
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetStatistics.jsx", "JavaScript JSX", 0, 77, 0, 0, 1, 12, 90
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/BarPlot.jsx", "JavaScript JSX", 0, 161, 0, 0, 1, 13, 175
