"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/App.css", "CSS", 0, 0, 37, 0, 0, 6, 43
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/App.jsx", "JavaScript JSX", 0, 31, 0, 0, 1, 3, 35
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/AgGridComponent/AgGridComponent.jsx", "JavaScript JSX", 0, 73, 0, 0, 1, 7, 81
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DashBoardLeft/DashBoardLeft.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 6, 64
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DashBoardRight/DashBoardRight.jsx", "JavaScript JSX", 0, 202, 0, 0, 8, 22, 232
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DashBoardTop/DashBoardTop.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 6, 61
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DateTime/DateTime.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 5, 31
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/FeaturePair/FeaturePair.jsx", "JavaScript JSX", 0, 125, 0, 0, 0, 15, 140
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/FileTab/FileTab.jsx", "JavaScript JSX", 0, 192, 0, 0, 5, 13, 210
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/FunctionTab/FunctionTab.jsx", "JavaScript JSX", 0, 224, 0, 0, 0, 6, 230
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/MultipleDropDown/MultipleDropDown.jsx", "JavaScript JSX", 0, 107, 0, 0, 2, 14, 123
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/Navbar/Navbar.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 3, 33
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/NextTable/NextTable.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 4, 36
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/SingleDropDown/SingleDropDown.jsx", "JavaScript JSX", 0, 65, 0, 0, 0, 11, 76
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/TreeView/TreeView.jsx", "JavaScript JSX", 0, 80, 0, 0, 1, 11, 92
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetCorrelation.jsx", "JavaScript JSX", 0, 330, 0, 0, 16, 39, 385
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetDisplay.jsx", "JavaScript JSX", 0, 52, 0, 0, 14, 10, 76
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetDuplicates.jsx", "JavaScript JSX", 0, 153, 0, 0, 6, 18, 177
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetGroup.jsx", "JavaScript JSX", 0, 153, 0, 0, 1, 15, 169
