Date : 2023-07-13 23:38:42
Directory : /home/ahnaf/Documents/Web Development/Mf-frontend/src
Total : 109 files,  13857 codes, 194 comments, 1010 blanks, all 15061 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         98 |     13,070 |        181 |        921 |     14,172 |
| JavaScript     |          8 |        459 |         12 |         74 |        545 |
| XML            |          1 |        263 |          0 |          1 |        264 |
| CSS            |          2 |         65 |          1 |         14 |         80 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |        109 |     13,857 |        194 |      1,010 |     15,061 |
| . (Files)                                                                                                                                                     |          7 |        185 |          4 |         28 |        217 |
| FunctionBased                                                                                                                                                 |         74 |     11,062 |         95 |        773 |     11,930 |
| FunctionBased/Components                                                                                                                                      |         13 |      1,269 |         17 |        123 |      1,409 |
| FunctionBased/Components/AgGridComponent                                                                                                                      |          1 |         73 |          1 |          7 |         81 |
| FunctionBased/Components/DashBoardLeft                                                                                                                        |          1 |         58 |          0 |          6 |         64 |
| FunctionBased/Components/DashBoardRight                                                                                                                       |          1 |        202 |          8 |         22 |        232 |
| FunctionBased/Components/DashBoardTop                                                                                                                         |          1 |         55 |          0 |          6 |         61 |
| FunctionBased/Components/DateTime                                                                                                                             |          1 |         26 |          0 |          5 |         31 |
| FunctionBased/Components/FeaturePair                                                                                                                          |          1 |        125 |          0 |         15 |        140 |
| FunctionBased/Components/FileTab                                                                                                                              |          1 |        192 |          5 |         13 |        210 |
| FunctionBased/Components/FunctionTab                                                                                                                          |          1 |        224 |          0 |          6 |        230 |
| FunctionBased/Components/MultipleDropDown                                                                                                                     |          1 |        107 |          2 |         14 |        123 |
| FunctionBased/Components/Navbar                                                                                                                               |          1 |         30 |          0 |          3 |         33 |
| FunctionBased/Components/NextTable                                                                                                                            |          1 |         32 |          0 |          4 |         36 |
| FunctionBased/Components/SingleDropDown                                                                                                                       |          1 |         65 |          0 |         11 |         76 |
| FunctionBased/Components/TreeView                                                                                                                             |          1 |         80 |          1 |         11 |         92 |
| FunctionBased/Functions                                                                                                                                       |         61 |      9,793 |         78 |        650 |     10,521 |
| FunctionBased/Functions/Dataset                                                                                                                               |          6 |        880 |         49 |        111 |      1,040 |
| FunctionBased/Functions/EDA                                                                                                                                   |         10 |      1,504 |          7 |        115 |      1,626 |
| FunctionBased/Functions/Feature Engineering                                                                                                                   |         22 |      2,680 |         10 |        194 |      2,884 |
| FunctionBased/Functions/Feature Engineering/AddModify                                                                                                         |          8 |        918 |          3 |         58 |        979 |
| FunctionBased/Functions/Feature Engineering/AddModify (Files)                                                                                                 |          1 |        245 |          1 |         15 |        261 |
| FunctionBased/Functions/Feature Engineering/AddModify/Component                                                                                               |          7 |        673 |          2 |         43 |        718 |
| FunctionBased/Functions/Feature Engineering/AlterFieldName                                                                                                    |          1 |        179 |          1 |         16 |        196 |
| FunctionBased/Functions/Feature Engineering/AppendDataset                                                                                                     |          1 |        118 |          0 |         11 |        129 |
| FunctionBased/Functions/Feature Engineering/ChangeDType                                                                                                       |          1 |        183 |          1 |         15 |        199 |
| FunctionBased/Functions/Feature Engineering/Cluster                                                                                                           |          1 |        213 |          0 |          8 |        221 |
| FunctionBased/Functions/Feature Engineering/DropColumn                                                                                                        |          1 |        161 |          1 |         13 |        175 |
| FunctionBased/Functions/Feature Engineering/DropRow                                                                                                           |          1 |        140 |          1 |         12 |        153 |
| FunctionBased/Functions/Feature Engineering/Encoding                                                                                                          |          1 |        176 |          1 |         16 |        193 |
| FunctionBased/Functions/Feature Engineering/FeatureSelection                                                                                                  |          5 |        286 |          0 |         20 |        306 |
| FunctionBased/Functions/Feature Engineering/FeatureSelection (Files)                                                                                          |          1 |         63 |          0 |          5 |         68 |
| FunctionBased/Functions/Feature Engineering/FeatureSelection/components                                                                                       |          4 |        223 |          0 |         15 |        238 |
| FunctionBased/Functions/Feature Engineering/MergeDataset                                                                                                      |          1 |        149 |          1 |         14 |        164 |
| FunctionBased/Functions/Feature Engineering/Scaling                                                                                                           |          1 |        157 |          1 |         11 |        169 |
| FunctionBased/Functions/FinalDataset                                                                                                                          |          1 |         64 |          0 |          6 |         70 |
| FunctionBased/Functions/Model Building                                                                                                                        |         19 |      4,227 |         11 |        196 |      4,434 |
